camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
6623f5b56f998a001b25292f,POINT(106.746608018875 10.8022710610062),,Võ Nguyên Giáp - quay đầu An Phú (2),,http://camera.thongtingiaothong.vn/api/snapshot/6623f5b56f998a001b25292f
66b1c398779f7400186740e3,POINT(106.653256416321 10.7601975506409),,Ba Tháng Hai - Tạ Uyên,,http://camera.thongtingiaothong.vn/api/snapshot/66b1c398779f7400186740e3
6623e31e6f998a001b252250,POINT(106.681677103043 10.7816671586319),,Kỳ Đồng - Bà Huyện Thanh Quan,,http://camera.thongtingiaothong.vn/api/snapshot/6623e31e6f998a001b252250
5deb576d1dc17d7c5515acfe,POINT(106.683688759804 10.7825155824841),,Lý Chính Thắng - Trương Định,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515acfe
58df4e22dc195800111e04bb,POINT(106.668593287468 10.8141637700114),Quận Tân Bình,Yên Thế - Bạch Đằng,270,http://camera.thongtingiaothong.vn/api/snapshot/58df4e22dc195800111e04bb
58e49e3dd9d6200011e0b9d1,POINT(106.6847884655 10.7886020312638),,Nam Kỳ Khởi Nghĩa - Lý Chính Thắng,105,http://camera.thongtingiaothong.vn/api/snapshot/58e49e3dd9d6200011e0b9d1
5ad0679598d8fc001102e274,POINT(106.786707043648 10.8452343413582),,Lê Văn Việt - Man Thiện,240,http://camera.thongtingiaothong.vn/api/snapshot/5ad0679598d8fc001102e274
5a824b6c5058170011f6eaab,POINT(106.621397137642 10.773841521503),,Nút giao Bốn Xã 3 (Lê Văn Quới),135,http://camera.thongtingiaothong.vn/api/snapshot/5a824b6c5058170011f6eaab
6623f0576f998a001b2527ac,POINT(106.641583442688 10.7859250629045),,Âu Cơ - Thoại Ngọc Hầu,,http://camera.thongtingiaothong.vn/api/snapshot/6623f0576f998a001b2527ac
62da3e840637a10017d7073d,POINT(106.71789765358 10.8451078948305),,Quốc Lộ 13 - Đinh Thị Thi 3,,http://camera.thongtingiaothong.vn/api/snapshot/62da3e840637a10017d7073d
56de42f611f398ec0c481288,POINT(106.697652339935 10.7637917349984),Quận 1,Võ Văn Kiệt - Cầu Ông Lãnh 1,210,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c481288
5a824f975058170011f6eab8,POINT(106.676913499832 10.8310719980749),,Nguyễn Oanh - Phan Văn Trị (2),285,http://camera.thongtingiaothong.vn/api/snapshot/5a824f975058170011f6eab8
5a824c3e5058170011f6eaae,POINT(106.621649265289 10.7738836803625),,Nút giao Bốn Xã 1 (Bình Long),210,http://camera.thongtingiaothong.vn/api/snapshot/5a824c3e5058170011f6eaae
5deb576d1dc17d7c5515acf9,POINT(106.68202 10.777768),,Nút giao Công Trường Dân Chủ,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515acf9
587470c2b807da0011e33ce4,POINT(106.715097427368 10.7892027649838),Quận Bình Thạnh,Nguyễn Hữu Cảnh - Ngô Tất Tố (Cầu Thủ Thiêm 1),90,http://camera.thongtingiaothong.vn/api/snapshot/587470c2b807da0011e33ce4
584e734a61cfea0012cf694f,POINT(106.60130739212 10.8162345391232),Quận Bình Tân,Quốc lộ 1 - Lê Trọng Tấn,270,http://camera.thongtingiaothong.vn/api/snapshot/584e734a61cfea0012cf694f
